Date,Close/Last,Open,High,Low
10/30/2024,5813.67,5832.65,5850.94,5811.28
10/29/2024,5832.92,5819.68,5847.19,5802.17
10/28/2024,5823.52,5833.93,5842.92,5823.08
10/25/2024,5808.12,5826.75,5862.82,5799.98
10/24/2024,5809.86,5817.80,5817.80,5784.92
10/23/2024,5797.42,5834.50,5834.85,5762.41
10/22/2024,5851.20,5832.70,5863.04,5821.17
10/21/2024,5853.98,5857.82,5866.92,5824.79
10/18/2024,5864.67,5859.43,5872.17,5846.11
10/17/2024,5841.47,5875.62,5878.46,5840.25
10/16/2024,5842.47,5816.58,5846.52,5808.34
10/15/2024,5815.26,5866.74,5870.36,5804.48
10/14/2024,5859.85,5829.81,5871.41,5829.57
10/11/2024,5815.03,5775.09,5822.13,5775.09
10/10/2024,5780.05,5778.36,5795.03,5764.76
10/09/2024,5792.04,5751.80,5796.80,5745.02
10/08/2024,5751.13,5719.14,5757.60,5714.56
10/07/2024,5695.94,5737.80,5739.34,5686.85
10/04/2024,5751.07,5737.48,5753.21,5702.83
10/03/2024,5699.94,5698.19,5718.78,5677.37
10/02/2024,5709.54,5698.14,5719.63,5674.00
10/01/2024,5708.75,5757.73,5757.73,5681.28
09/30/2024,5762.48,5726.52,5765.14,5703.53
09/27/2024,5738.17,5755.36,5763.78,5727.34
09/26/2024,5745.37,5762.22,5767.37,5721.01
09/25/2024,5722.26,5733.65,5741.03,5712.06
09/24/2024,5732.93,5727.66,5735.32,5698.99
09/23/2024,5718.57,5711.90,5725.36,5704.22
09/20/2024,5702.55,5709.64,5715.14,5674.49
09/19/2024,5713.64,5702.63,5733.57,5686.42
09/18/2024,5618.26,5641.68,5689.75,5615.08
09/17/2024,5634.58,5655.51,5670.81,5614.05
09/16/2024,5633.09,5615.21,5636.05,5604.53
09/13/2024,5626.02,5603.34,5636.27,5601.65
09/12/2024,5595.76,5557.48,5600.71,5535.50
09/11/2024,5554.13,5496.42,5560.41,5406.96
09/10/2024,5495.52,5490.51,5497.91,5441.72
09/09/2024,5471.05,5442.07,5484.20,5434.49
09/06/2024,5408.42,5507.33,5522.47,5402.62
09/05/2024,5503.41,5520.08,5546.30,5480.54
09/04/2024,5520.07,5506.68,5552.99,5503.66
09/03/2024,5528.93,5623.89,5623.89,5504.33
08/30/2024,5648.40,5612.74,5651.37,5581.79
08/29/2024,5591.96,5607.30,5646.95,5583.71
08/28/2024,5592.18,5624.51,5627.03,5560.95
08/27/2024,5625.80,5602.89,5631.18,5593.48
08/26/2024,5616.84,5639.66,5651.62,5602.34
08/23/2024,5634.61,5602.49,5641.82,5585.16
08/22/2024,5570.64,5637.77,5643.22,5560.95
08/21/2024,5620.85,5603.09,5632.68,5591.57
08/20/2024,5597.12,5602.88,5620.51,5585.50
08/19/2024,5608.25,5557.23,5608.30,5550.74
08/16/2024,5554.25,5530.50,5561.98,5525.17
08/15/2024,5543.22,5501.13,5546.23,5501.13
08/14/2024,5455.21,5442.36,5463.22,5415.91
08/13/2024,5434.43,5376.98,5436.50,5376.98
08/12/2024,5344.39,5351.88,5371.20,5324.37
08/09/2024,5344.16,5314.66,5358.67,5300.84
08/08/2024,5319.31,5252.57,5328.03,5233.85
